location_id,location_name,iso3,level,year,the_total_mean,the_total_lower,the_total_upper,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,ghes_total_mean,ghes_total_lower,ghes_total_upper,ghes_total_ppp_mean,ghes_total_ppp_lower,ghes_total_ppp_upper,ppp_total_mean,ppp_total_lower,ppp_total_upper,ppp_total_ppp_mean,ppp_total_ppp_lower,ppp_total_ppp_upper,oop_total_mean,oop_total_lower,oop_total_upper,oop_total_ppp_mean,oop_total_ppp_lower,oop_total_ppp_upper,dah_total_mean,dah_total_ppp_mean,the_per_cap_mean,the_per_cap_lower,the_per_cap_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,ghes_per_cap_mean,ghes_per_cap_lower,ghes_per_cap_upper,ghes_per_cap_ppp_mean,ghes_per_cap_ppp_lower,ghes_per_cap_ppp_upper,ppp_per_cap_mean,ppp_per_cap_lower,ppp_per_cap_upper,ppp_per_cap_ppp_mean,ppp_per_cap_ppp_lower,ppp_per_cap_ppp_upper,oop_per_cap_mean,oop_per_cap_lower,oop_per_cap_upper,oop_per_cap_ppp_mean,oop_per_cap_ppp_lower,oop_per_cap_ppp_upper,dah_per_cap_mean,dah_per_cap_ppp_mean,ghes_per_the_mean,ghes_per_the_lower,ghes_per_the_upper,ppp_per_the_mean,ppp_per_the_lower,ppp_per_the_upper,oop_per_the_mean,oop_per_the_lower,oop_per_the_upper,dah_per_the_mean,dah_per_the_lower,dah_per_the_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper,ghes_per_gdp_mean,ghes_per_gdp_lower,ghes_per_gdp_upper,ppp_per_gdp_mean,ppp_per_gdp_lower,ppp_per_gdp_upper,oop_per_gdp_mean,oop_per_gdp_lower,oop_per_gdp_upper,dah_per_gdp_mean,dah_per_gdp_lower,dah_per_gdp_upper,cluster
160,Afghanistan,AFG,Country,2021,3024750,2940122,3129841,14109068,13714317,14599271,108745,95473,123788,507244,445336,577415,1994,983,3478,9302,4587,16225,2543337,2455367,2645078,11863498.0,11453158,12338073,370674,1729025,97,94,100,452,439,467,3,3,4,16,14,18,0,0,0,0,0,1,81,79,85,380,367,395,12,55,0.036,0.032,0.041,0.001,0.0,0.001,0.841,0.834,0.847,0.123,0.118,0.126,0.247,0.205,0.28,0.009,0.007,0.011,0.0,0.0,0.0,0.207,0.173,0.236,0.03,0.025,0.034,0
43,Albania,ALB,Country,2021,1404771,1328823,1489374,3832753,3625538,4063583,538090,488196,587133,1468117,1331987,1601924,640,316,1115,1745,861,3042,804795,743934,867183,2195791.0,2029737,2366007,61246,167101,528,500,560,1441,1363,1528,202,184,221,552,501,602,0,0,0,1,0,1,303,280,326,826,763,890,23,63,0.383,0.355,0.409,0.0,0.0,0.001,0.573,0.546,0.6,0.044,0.041,0.046,0.083,0.078,0.088,0.032,0.029,0.035,0.0,0.0,0.0,0.047,0.044,0.051,0.004,0.004,0.004,0
139,Algeria,DZA,Country,2021,10483106,9543952,11426254,31400687,28587582,34225758,6180285,5533608,7011531,18512186,16575156,21002068,191968,97901,326007,575014,293248,976509,4048445,3467695,4664223,12126554.0,10387000,13971032,62408,186934,237,215,258,709,645,773,140,125,158,418,374,474,4,2,7,13,7,22,91,78,105,274,234,315,1,4,0.59,0.549,0.63,0.018,0.009,0.031,0.386,0.344,0.427,0.006,0.005,0.007,0.056,0.051,0.06,0.033,0.029,0.037,0.001,0.001,0.002,0.021,0.018,0.025,0.0,0.0,0.0,0
298,American Samoa,ASM,Country,2021,39967,31359,48899,39967,31359,48899,29228,21493,38043,29228,21493,38043,1585,773,2786,1585,773,2786,9154,6370,12441,9154.0,6370,12441,0,0,802,629,981,802,629,981,586,431,763,586,431,763,32,16,56,32,16,56,184,128,250,184,128,250,0,0,0.729,0.641,0.806,0.04,0.02,0.072,0.231,0.162,0.31,0.0,0.0,0.0,0.043,0.033,0.054,0.031,0.023,0.041,0.002,0.001,0.003,0.01,0.007,0.013,0.0,0.0,0.0,0
74,Andorra,AND,Country,2021,257566,240046,276211,414492,386297,444496,190627,173336,208779,306769,278944,335981,36254,33671,39203,58343,54186,63089,30685,29084,32425,49380.0,46805,52181,0,0,3005,2801,3223,4837,4508,5187,2224,2023,2436,3580,3255,3920,423,393,457,681,632,736,358,339,378,576,546,609,0,0,0.74,0.721,0.758,0.141,0.128,0.154,0.119,0.11,0.129,0.0,0.0,0.0,0.077,0.072,0.083,0.057,0.052,0.063,0.011,0.01,0.012,0.009,0.009,0.01,0.0,0.0,0.0,3
168,Angola,AGO,Country,2021,3741050,3213194,4337718,7555683,6489589,8760756,2066659,1670166,2512431,4173967,3373184,5074280,500668,304776,787019,1011184,615547,1589518,857463,645135,1102816,1731792.0,1302959,2227324,316260,638740,114,98,133,231,198,268,63,51,77,128,103,155,15,9,24,31,19,49,26,20,34,53,40,68,10,20,0.552,0.481,0.615,0.133,0.084,0.199,0.229,0.175,0.288,0.085,0.073,0.098,0.033,0.028,0.038,0.018,0.015,0.022,0.004,0.003,0.007,0.008,0.006,0.01,0.003,0.003,0.003,0
105,Antigua and Barbuda,ATG,Country,2021,89648,85022,93912,121131,114880,126891,60028,55795,64083,81108,75389,86588,12263,11828,12699,16570,15982,17159,17357,15642,19329,23453.0,21135,26117,0,0,1002,950,1050,1354,1284,1419,671,624,716,907,843,968,137,132,142,185,179,192,194,175,216,262,236,292,0,0,0.669,0.649,0.689,0.137,0.129,0.145,0.194,0.177,0.213,0.0,0.0,0.0,0.058,0.053,0.064,0.039,0.035,0.044,0.008,0.007,0.009,0.011,0.01,0.013,0.0,0.0,0.0,0
97,Argentina,ARG,Country,2021,59457678,56537393,62660268,115614517,109936069,121841904,36698978,34827614,38651977,71360585,67721746,75158160,8050844,6317918,10119683,15654739,12285092,19677565,13109855,11749508,14613894,25491907.0,22846734,28416487,1598000,3107286,1307,1243,1377,2542,2417,2678,807,766,850,1569,1489,1652,177,139,222,344,270,433,288,258,321,560,502,625,35,68,0.617,0.592,0.642,0.135,0.109,0.167,0.22,0.2,0.242,0.027,0.026,0.028,0.099,0.094,0.104,0.061,0.058,0.064,0.013,0.011,0.017,0.022,0.02,0.024,0.003,0.003,0.003,3
33,Armenia,ARM,Country,2021,2174834,2065044,2284925,5875111,5578522,6172512,378989,332365,434087,1023804,897854,1172646,59389,33966,94405,160435,91757,255027,1699056,1607907,1802521,4589841.0,4343610,4869342,37399,101031,727,690,764,1964,1865,2063,127,111,145,342,300,392,20,11,32,54,31,85,568,537,603,1534,1452,1628,13,34,0.174,0.154,0.196,0.027,0.016,0.043,0.781,0.756,0.803,0.017,0.016,0.018,0.117,0.106,0.131,0.02,0.017,0.024,0.003,0.002,0.005,0.092,0.082,0.103,0.002,0.002,0.002,3
71,Australia,AUS,Country,2021,181643127,177311205,185637498,173786517,169641963,177608119,138216809,134367366,142156455,132238518,128555574,136007762,18405888,17028783,19823715,17609778,16292237,18966280,25020430,24079661,25906783,23938222.0,23038144,24786237,0,0,7042,6874,7197,6738,6577,6886,5359,5209,5511,5127,4984,5273,714,660,769,683,632,735,970,934,1004,928,893,961,0,0,0.761,0.753,0.769,0.101,0.094,0.108,0.138,0.132,0.143,0.0,0.0,0.0,0.113,0.106,0.124,0.086,0.081,0.094,0.011,0.01,0.013,0.016,0.014,0.017,0.0,0.0,0.0,1
75,Austria,AUT,Country,2021,54323445,53532975,55167509,69657001,68643411,70739315,42511373,41784531,43298978,54510806,53578803,55520724,3254151,3052599,3472435,4172681,3914239,4452578,8557921,8372618,8750437,10973515.0,10735907,11220371,0,0,6054,5966,6148,7763,7650,7884,4738,4657,4826,6075,5971,6188,363,340,387,465,436,496,954,933,975,1223,1197,1251,0,0,0.783,0.778,0.788,0.06,0.056,0.064,0.158,0.154,0.161,0.0,0.0,0.0,0.121,0.119,0.123,0.095,0.093,0.097,0.007,0.007,0.008,0.019,0.019,0.02,0.0,0.0,0.0,1
34,Azerbaijan,AZE,Country,2021,3527470,3272331,3795205,8103665,7517535,8718735,1113228,979695,1259900,2557422,2250656,2894373,76652,41206,127413,176092,94664,292705,2309070,2108976,2525848,5304632.0,4844957,5802636,28520,65518,336,312,362,772,717,831,106,93,120,244,215,276,7,4,12,17,9,28,220,201,241,506,462,553,3,6,0.316,0.284,0.349,0.022,0.012,0.036,0.655,0.621,0.686,0.008,0.008,0.009,0.046,0.042,0.049,0.014,0.013,0.016,0.001,0.001,0.002,0.03,0.027,0.033,0.0,0.0,0.0,0
106,Bahamas,BHS,Country,2021,776412,751854,802994,1009638,977704,1044206,434244,414129,456568,564686,538529,593717,150914,141057,161872,196247,183429,210497,191254,183881,197976,248705.0,239116,257446,0,0,2000,1937,2069,2601,2519,2690,1119,1067,1176,1455,1387,1529,389,363,417,506,473,542,493,474,510,641,616,663,0,0,0.559,0.544,0.574,0.194,0.183,0.206,0.246,0.236,0.256,0.0,0.0,0.0,0.072,0.068,0.075,0.04,0.038,0.043,0.014,0.013,0.015,0.018,0.017,0.019,0.0,0.0,0.0,3
140,Bahrain,BHR,Country,2021,1792655,1711231,1881260,3643449,3477960,3823532,1177173,1098062,1257449,2392523,2231735,2555680,200267,185686,215690,407030,377394,438374,415215,375914,455917,843896.0,764019,926619,0,0,1170,1117,1228,2378,2270,2496,768,717,821,1562,1457,1668,131,121,141,266,246,286,271,245,298,551,499,605,0,0,0.657,0.634,0.678,0.112,0.102,0.122,0.232,0.211,0.252,0.0,0.0,0.0,0.041,0.039,0.043,0.027,0.025,0.029,0.005,0.004,0.005,0.009,0.009,0.01,0.0,0.0,0.0,3
161,Bangladesh,BGD,Country,2021,11831109,11191347,12597550,32613751,30850175,34726528,1795096,1303552,2349630,4948380,3593384,6477012,273553,135391,475575,754078,373220,1310976,7458647,7075759,7844697,20560580.0,19505107,21624768,2303813,6350713,72,68,77,198,188,211,11,8,14,30,22,39,2,1,3,5,2,8,45,43,48,125,119,131,14,39,0.151,0.115,0.191,0.023,0.012,0.04,0.631,0.599,0.659,0.195,0.183,0.206,0.03,0.026,0.036,0.005,0.003,0.006,0.001,0.0,0.001,0.019,0.017,0.023,0.006,0.005,0.007,0
107,Barbados,BRB,Country,2021,416719,394753,437887,367834,348445,386519,227136,205407,249247,200491,181310,220008,26652,24929,28498,23526,22005,25155,162931,155394,170483,143818.0,137164,150483,0,0,1392,1318,1462,1228,1164,1291,759,686,832,670,606,735,89,83,95,79,73,84,544,519,569,480,458,503,0,0,0.545,0.518,0.569,0.064,0.059,0.069,0.391,0.369,0.418,0.0,0.0,0.0,0.076,0.071,0.081,0.041,0.037,0.046,0.005,0.004,0.005,0.03,0.028,0.032,0.0,0.0,0.0,3
57,Belarus,BLR,Country,2021,5145180,4880663,5390627,14823424,14061342,15530564,3709111,3509315,3912951,10686065,10110446,11273335,185703,109864,282464,535015,316523,813787,1070811,967435,1198645,3085041.0,2787212,3453335,179555,517303,552,524,579,1591,1509,1667,398,377,420,1147,1085,1210,20,12,30,57,34,87,115,104,129,331,299,371,19,56,0.721,0.698,0.741,0.036,0.022,0.054,0.208,0.19,0.227,0.035,0.033,0.037,0.068,0.065,0.072,0.049,0.047,0.052,0.002,0.001,0.004,0.014,0.013,0.016,0.002,0.002,0.002,0
76,Belgium,BEL,Country,2021,61926819,60985372,62905135,78557429,77363154,79798474,47980353,47086122,48995868,60865602,59731224,62153837,2815245,2695899,2948035,3571286,3419890,3739738,11131221,10808484,11471947,14120540.0,13711131,14552769,0,0,5409,5326,5494,6861,6757,6970,4191,4113,4279,5316,5217,5429,246,235,257,312,299,327,972,944,1002,1233,1198,1271,0,0,0.775,0.769,0.78,0.045,0.043,0.048,0.18,0.175,0.185,0.0,0.0,0.0,0.111,0.11,0.113,0.086,0.085,0.088,0.005,0.005,0.005,0.02,0.019,0.021,0.0,0.0,0.0,1
108,Belize,BLZ,Country,2021,141021,130750,152628,220518,204456,238668,90761,82434,100740,141925,128904,157529,7667,4513,11964,11989,7057,18708,29617,24266,35632,46313.0,37946,55718,12976,20291,329,305,356,514,477,557,212,192,235,331,301,367,18,11,28,28,16,44,69,57,83,108,88,130,30,47,0.644,0.602,0.679,0.054,0.033,0.083,0.21,0.177,0.248,0.092,0.085,0.099,0.051,0.046,0.057,0.033,0.029,0.036,0.003,0.002,0.004,0.011,0.009,0.013,0.005,0.004,0.005,0
200,Benin,BEN,Country,2021,520950,467460,583896,1617904,1451781,1813393,57391,40990,76375,178239,127303,237196,30316,15065,52462,94151,46787,162929,214387,168316,271219,665818.0,522734,842317,218856,679696,39,35,43,120,108,135,4,3,6,13,9,18,2,1,4,7,3,12,16,13,20,49,39,63,16,51,0.11,0.081,0.144,0.058,0.03,0.096,0.41,0.352,0.466,0.421,0.375,0.468,0.031,0.028,0.034,0.003,0.002,0.004,0.002,0.001,0.003,0.013,0.01,0.016,0.013,0.013,0.013,0
305,Bermuda,BMU,Country,2021,509282,395358,662582,379087,294287,493197,156395,124031,194271,116414,92323,144607,296422,193652,436464,220644,144146,324885,56465,41026,76001,42030.0,30538,56572,0,0,8021,6227,10436,5971,4635,7768,2463,1953,3060,1834,1454,2278,4669,3050,6874,3475,2270,5117,889,646,1197,662,481,891,0,0,0.311,0.228,0.404,0.577,0.467,0.684,0.112,0.074,0.155,0.0,0.0,0.0,0.071,0.052,0.1,0.022,0.016,0.031,0.042,0.025,0.066,0.008,0.005,0.012,0.0,0.0,0.0,2
162,Bhutan,BTN,Country,2021,100310,91101,108645,379769,344904,411326,55487,47426,63914,210070,179551,241974,1639,923,2660,6204,3496,10071,18089,15364,21002,68484.0,58167,79511,25096,95011,132,120,143,502,456,543,73,63,84,277,237,320,2,1,4,8,5,13,24,20,28,90,77,105,33,125,0.553,0.515,0.59,0.016,0.009,0.026,0.18,0.152,0.208,0.251,0.231,0.275,0.039,0.036,0.043,0.022,0.019,0.025,0.001,0.0,0.001,0.007,0.006,0.008,0.01,0.01,0.01,0
121,Bolivia (Plurinational State of),BOL,Country,2021,3757754,3481520,4032339,10077481,9336683,10813859,2537442,2319505,2781212,6804869,6220410,7458608,138109,76378,220400,370378,204828,591065,790373,643822,971381,2119609.0,1726592,2605033,291830,782624,318,295,342,854,791,916,215,197,236,577,527,632,12,6,19,31,17,50,67,55,82,180,146,221,25,66,0.675,0.634,0.712,0.037,0.02,0.058,0.21,0.178,0.25,0.078,0.072,0.084,0.09,0.082,0.097,0.06,0.055,0.066,0.003,0.002,0.005,0.019,0.015,0.023,0.007,0.007,0.007,0
44,Bosnia and Herzegovina,BIH,Country,2021,2308149,2188074,2422720,6050194,5735449,6350510,1537361,1450951,1613936,4029778,3803279,4230501,7606,3779,13170,19938,9906,34521,691044,601221,785061,1811386.0,1575941,2057826,72139,189092,698,662,733,1830,1735,1921,465,439,488,1219,1151,1280,2,1,4,6,3,10,209,182,238,548,477,623,22,57,0.666,0.639,0.696,0.003,0.002,0.006,0.299,0.268,0.327,0.031,0.03,0.033,0.099,0.092,0.108,0.066,0.061,0.072,0.0,0.0,0.001,0.03,0.026,0.034,0.003,0.003,0.003,0
193,Botswana,BWA,Country,2021,1253744,1168268,1339516,2969091,2766669,3172216,929427,860739,1011303,2201050,2038386,2394947,172525,133520,220883,408569,316199,523090,54950,45591,65403,130131.0,107968,154887,96843,229341,524,488,559,1240,1156,1325,388,360,422,919,851,1000,72,56,92,171,132,218,23,19,27,54,45,65,40,96,0.741,0.712,0.771,0.137,0.106,0.17,0.044,0.036,0.052,0.077,0.072,0.083,0.07,0.066,0.075,0.052,0.048,0.057,0.01,0.008,0.012,0.003,0.003,0.004,0.005,0.005,0.005,0
135,Brazil,BRA,Country,2021,180381375,171487918,190409644,360495759,342722008,380537454,84294166,77806777,91288774,168463563,155498388,182442426,53281380,48444442,58651694,106483896,96817178,117216575,42473410,38790447,46249691,84883953.0,77523479,92430925,332419,664347,819,778,864,1636,1556,1727,383,353,414,765,706,828,242,220,266,483,439,532,193,176,210,385,352,420,2,3,0.467,0.442,0.493,0.295,0.272,0.32,0.236,0.216,0.254,0.002,0.002,0.002,0.092,0.085,0.099,0.043,0.039,0.047,0.027,0.024,0.03,0.022,0.019,0.024,0.0,0.0,0.0,0
